id;title;course_id
1;  Python identifiers: case sensitive?; 1
3;  Key words in Python; 1
5;  Which one cannot be used as a variable name?; 1
2;  Variable names with underscores; 1
4;  Variable definitions (they all look strange!); 1
6;  Power operator in Python?; 1
7;  Power operator in Python? ; 2
8;  Key words in Python ; 2
13;  (5) Which statement most accurately describes the evaluation of the expressions?; 3
9;  (1) After code segment is executed, which statements are true?; 3
12;  (4) What is the output of this code?; 3
11;  (3) Which of the following statements best describes the execution of the while loop?; 3
15;  (7) What is the output of executing this code segment?; 3
14;  (6) Fill in < missing code 1 >, < missing code 2 >, and < missing code 3 >; 3
89;  Which one of these is floor division?; 1
22;  (14) What are the values of x, y, s, and n after the function call compute(s, n)?; 3
10;  (2) What is not true about the following code? ; 3
19;  (11) What is printed as a result of this code segment?; 3
16;  (8) Which statement best describes the execution of function call add(8, 5, 12)?; 3
17;  (9) Fill in the missing code to print out expected output.; 3
20;  (12) After code is executed, what is the value of sequel? ; 3
90;  What is the answer to this expression, 22 % 3 is?; 1
91;  Mathematical operations can be performed on a string?; 1
156;  String definitions; 1
23;  (15) What are the values of array1 and array2 after the segment of code is executed?; 3
74;  (2) What is not true about the following code?  cloned; 6
92;  Operators with the same precedence; 1
93;  Evaluate an expression; 1
94;  Operators on the same precedence level?; 1
95;  Highest precedence in the expression; 1
116;  How to check a value is between 0 and 5?; 1
47;  (7) What is the output of executing this code segment? cloned; 4
24;  (16) Select the most correct code fragment that will result in calculating the surface area of a cylinder, given the equation: surfaceArea = 2¦Ðr^2?+ 2¦Ðrh; 3
117;  How is 5*3 > 10 and 4+6==11 evaluated?; 1
118;  Evaluate a if-else code snippet; 1
119;  Evaluate another if-else code snippet; 1
120;  Can an if branch have no corresponding else?; 1
130;  While with an else; 1
121;  Equivalent version of a nested if-else?; 1
122;  And/or operators in Python; 1
131;  A while loop with else branch; 1
132;  Visiting a string character by character; 1
133;  Visiting a string character by character - a wired version, does it work?; 1
158;  Printing a hyphenated string; 1
159;  Printing a float with formatting - 1; 1
160;  Printing a float with formatting - 2; 1
162;  String formatting with place holders - 2; 1
157;  Printing multiple lines with one print(); 1
163;  Printing a float with formatting - 3; 1
164;  Printing a float with formatting - 4; 1
285;  Accessing a value in a dictionary; 1
286;  Creating an dictionary; 1
21;  (13) Fill in each condition so that "All of the rainbow!" is printed.; 3
18;  (10) Which function correctly calculates average cost of a trip to the grocery store given information below?; 3
96;  The value of an expression; 1
97;  Evaluate an expression; 1
98;  Operator processed from right to left; 1
99;  What is the value of x?; 1
100;  Exponentiation; 1
101;  Divisions in a sequence; 1
102;  Floor divisions + type casting; 1
103;  Float division; 1
104;  A hard math question :-); 1
105;  Floor divisions; 1
106;  Evaluate an expression; 1
107;  Errors in casting; 1
41;  (1) After code segment is executed, which statements are true? cloned; 4
42;  (2) What is not true about the following code?  cloned; 4
43;  (3) Which of the following statements best describes the execution of the while loop? cloned; 4
44;  (4) What is the output of this code? cloned; 4
45;  (5) Which statement most accurately describes the evaluation of the expressions? cloned; 4
46;  (6) Fill in < missing code 1 >, < missing code 2 >, and < missing code 3 > cloned; 4
48;  (8) Which statement best describes the execution of function call add(8, 5, 12)? cloned; 4
49;  (9) Fill in the missing code to print out expected output. cloned; 4
108;  Sequence of exponentiation; 1
50;  (10) Which function correctly calculates average cost of a trip to the grocery store given information below? cloned; 4
51;  (11) What is printed as a result of this code segment? cloned; 4
52;  (12) After code is executed, what is the value of sequel?  cloned; 4
53;  (13) Fill in each condition so that "All of the rainbow!" is printed. cloned; 4
54;  (14) What are the values of x, y, s, and n after the function call compute(s, n)? cloned; 4
55;  (15) What are the values of array1 and array2 after the segment of code is executed? cloned; 4
57;  (1) After code segment is executed, which statements are true? cloned; 5
56;  (16) Select the most correct code fragment that will result in calculating the surface area of a cylinder, given the equation: surfaceArea = 2¦Ðr^2?+ 2¦Ðrh cloned; 4
58;  (2) What is not true about the following code?  cloned; 5
63;  (7) What is the output of executing this code segment? cloned; 5
64;  (8) Which statement best describes the execution of function call add(8, 5, 12)? cloned; 5
65;  (9) Fill in the missing code to print out expected output. cloned; 5
59;  (3) Which of the following statements best describes the execution of the while loop? cloned; 5
60;  (4) What is the output of this code? cloned; 5
61;  (5) Which statement most accurately describes the evaluation of the expressions? cloned; 5
109;  Does adding () change the result?; 1
123;  Iteration of upper() method calls; 1
124;  Another iteration of upper() function calls; 1
125;  While with a break; 1
134;  In operator in while loop condition; 1
135;  While loop on a "shrinking" string (version 1); 1
136;  While loop on a "shrinking" string (version 2); 1
137;  Upper() function call in a loop - does it change the original string?; 1
138;  Visiting a string character by character with for loop; 1
140;  Visiting a string character by character with a range() - version 2; 1
141;  Re-defining a string in the body of an iteration; 1
142;  Can we use for loop to visit an integer?; 1
143;  For loop on a dictionary - what will be visited?; 1
144;  For loop with dictionary_obj.items(); 1
145;  Visiting a dictionary with for loop on dictionary_obj.keys; 1
146;  Visiting a dictionary with for loop on dictionary_obj.values(); 1
147;  Visiting a dictionary with for loop on dictionary_obj.values() - a wired version, does it work?; 1
148;  What is in range(0)?; 1
149;  list_obj[::-1]; 1
150;  string_obj[::-1]; 1
151;  Visiting an empty string character by character; 1
152;  For loop which changes a value in the body; 1
153;  For loop with conditions in the body; 1
154;  Visiting a string character by character with for loop, and print with commas; 1
165;  String slicing - 2; 1
166;  What arithmetic operators cannot be used with strings in Python?; 1
167;  String slicing - 3; 1
168;  Changing an character in a string (in place); 1
169;  string_obj.count(); 1
73;  (1) After code segment is executed, which statements are true? cloned; 6
75;  (3) Which of the following statements best describes the execution of the while loop? cloned; 6
76;  (3) Which of the following statements best describes the execution of the while loop? cloned; 6
77;  (5) Which statement most accurately describes the evaluation of the expressions? cloned; 6
68;  (12) After code is executed, what is the value of sequel?  cloned; 5
78;  (6) Fill in < missing code 1 >, < missing code 2 >, and < missing code 3 > cloned; 6
79;  (7) What is the output of executing this code segment? cloned; 6
80;  (8) Which statement best describes the execution of function call add(8, 5, 12)? cloned; 6
81;  (9) Fill in the missing code to print out expected output. cloned; 6
82;  (10) Which function correctly calculates average cost of a trip to the grocery store given information below? cloned; 6
83;  (11) What is printed as a result of this code segment? cloned; 6
62;  (6) Fill in < missing code 1 >, < missing code 2 >, and < missing code 3 > cloned; 5
84;  (12) After code is executed, what is the value of sequel?  cloned; 6
85;  (13) Fill in each condition so that "All of the rainbow!" is printed. cloned; 6
66;  (10) Which function correctly calculates average cost of a trip to the grocery store given information below? cloned; 5
67;  (11) What is printed as a result of this code segment? cloned; 5
180;  string_obj.replace(); 1
69;  (13) Fill in each condition so that "All of the rainbow!" is printed. cloned; 5
70;  (14) What are the values of x, y, s, and n after the function call compute(s, n)? cloned; 5
